AppName, Permissions
"CARFAX.app", "NSCameraUsageDescription, NSLocationWhenInUseUsageDescription, NSMicrophoneUsageDescription, NSPhotoLibraryUsageDescription, NSUserTrackingUsageDescription"
"AutoZone.app", "NSAdvertisingAttributionReportEndpoint, NSAllowsArbitraryLoads, NSAppTransportSecurity, NSCameraUsageDescription, NSExceptionDomains, NSExceptionMinimumTLSVersion, NSExceptionRequiresForwardSecrecy, NSIncludesSubdomains, NSLocationAlwaysAndWhenInUseUsageDescription, NSLocationAlwaysUsageDescription, NSLocationWhenInUseUsageDescription, NSPhotoLibraryUsageDescription, NSTemporaryExceptionAllowsInsecureHTTPLoads"
"Cars.com.app", "NSAllowsArbitraryLoads, NSAppTransportSecurity, NSExceptionAllowsInsecureHTTPLoads, NSExceptionDomains, NSLocationAlwaysAndWhenInUseUsageDescription, NSLocationWhenInUseUsageDescription, NSPhotoLibraryUsageDescription, NSUserTrackingUsageDescription"
"Chevron.app
ChevronWatch.app", "NSAppleMusicUsageDescription, NSBluetoothAlwaysUsageDescription, NSBluetoothPeripheralUsageDescription, NSCameraUsageDescription, NSContactsUsageDescription, NSFaceIDUsageDescription, NSLocationAlwaysAndWhenInUseUsageDescription, NSLocationAlwaysUsageDescription, NSLocationTemporaryUsageDescriptionDictionary, NSLocationWhenInUseUsageDescription, NSPhotoLibraryUsageDescription, NSUserTrackingUsageDescription"
"ParkMobile.app", "NSAllowsArbitraryLoads, NSAppTransportSecurity, NSCalendarsUsageDescription, NSCameraUsageDescription, NSContactsUsageDescription, NSFaceIDUsageDescription, NSLocationAlwaysAndWhenInUseUsageDescription, NSLocationAlwaysUsageDescription, NSLocationWhenInUseUsageDescription, NSMicrophoneUsageDescription, NSPhotoLibraryUsageDescription, NSSupportsLiveActivities"
"Photomath.app", "NSCameraUsageDescription, NSPhotoLibraryUsageDescription"
"supernova.app", "NSAdvertisingAttributionReportEndpoint, NSAllowsArbitraryLoads, NSAppTransportSecurity, NSCalendarsUsageDescription, NSExceptionAllowsInsecureHTTPLoads, NSExceptionDomains, NSIncludesSubdomains, NSLocationWhenInUseUsageDescription, NSUserTrackingUsageDescription"
"Runner.app", "NSAdvertisingAttributionReportEndpoint, NSAllowsArbitraryLoads, NSAppTransportSecurity, NSCalendarsUsageDescription, NSCameraUsageDescription, NSContactsUsageDescription, NSLocationWhenInUseUsageDescription, NSMicrophoneUsageDescription, NSPhotoLibraryUsageDescription, NSSpeechRecognitionUsageDescription"
"Elevate.app", "NSAdvertisingAttributionReportEndpoint, NSBluetoothPeripheralUsageDescription, NSLocationAlwaysUsageDescription, NSLocationWhenInUseUsageDescription, NSPhotoLibraryAddUsageDescription, NSPhotoLibraryUsageDescription, NSUserTrackingUsageDescription"
"DuolingoMobile.app", "NSAllowsArbitraryLoads, NSAppTransportSecurity, NSCameraUsageDescription, NSContactsUsageDescription, NSHumanReadableCopyright, NSLocationWhenInUseUsageDescription, NSMicrophoneUsageDescription, NSPhotoLibraryAddUsageDescription, NSPhotoLibraryUsageDescription, NSPrincipalClass, NSSpeechRecognitionUsageDescription, NSSupportsLiveActivities, NSUserActivityTypes, NSUserTrackingUsageDescription"
"RoyalMatch.app", "NSAdvertisingAttributionReportEndpoint, NSAllowsArbitraryLoads, NSAllowsArbitraryLoadsInWebContent, NSAppTransportSecurity, NSLocationAlwaysUsageDescription, NSLocationWhenInUseUsageDescription, NSPhotoLibraryUsageDescription, NSUserTrackingUsageDescription"
"CrowdEvolution.app", "NSAdvertisingAttributionReportEndpoint, NSAllowsArbitraryLoads, NSAllowsArbitraryLoadsInWebContent, NSAppTransportSecurity, NSCalendarsUsageDescription, NSLocationWhenInUseUsageDescription, NSUserTrackingUsageDescription"
"WeaponCraftRun.app", "NSAdvertisingAttributionReportEndpoint, NSAllowsArbitraryLoads, NSAllowsArbitraryLoadsInWebContent, NSAppTransportSecurity, NSCalendarsUsageDescription, NSLocationWhenInUseUsageDescription, NSUserTrackingUsageDescription"
"Wordle.app", "NSAllowsArbitraryLoads, NSAllowsArbitraryLoadsInWebContent, NSAppTransportSecurity, NSCalendarsUsageDescription, NSLocationDefaultAccuracyReduced, NSLocationWhenInUseUsageDescription, NSPhotoLibraryAddUsageDescription, NSPhotoLibraryUsageDescription, NSUserTrackingUsageDescription"
"MyHotel.app", "NSAdvertisingAttributionReportEndpoint, NSAllowsArbitraryLoads, NSAppTransportSecurity, NSCalendarsUsageDescription, NSCameraUsageDescription, NSLocationAlwaysAndWhenInUseUsageDescription, NSLocationAlwaysUsageDescription, NSLocationWhenInUseUsageDescription, NSMotionUsageDescription, NSPhotoLibraryUsageDescription, NSUserTrackingUsageDescription"
"ESPN.app
ESPN Watch App.app", "NSAllowsArbitraryLoads, NSAppTransportSecurity, NSBluetoothAlwaysUsageDescription, NSBluetoothPeripheralUsageDescription, NSBonjourServices, NSCalendarsUsageDescription, NSFaceIDUsageDescription, NSLocalNetworkUsageDescription, NSLocationWhenInUseUsageDescription, NSMicrophoneUsageDescription, NSPhotoLibraryAddUsageDescription, NSPhotoLibraryUsageDescription, NSUserActivityTypes, NSUserTrackingUsageDescription, NSVideoSubscriberAccountUsageDescription"
"SportsbookWrapper.app", "NSAllowsArbitraryLoadsInWebContent, NSAllowsLocalNetworking, NSAppTransportSecurity, NSBluetoothAlwaysUsageDescription, NSBluetoothPeripheralUsageDescription, NSCalendarsUsageDescription, NSCameraUsageDescription, NSExceptionAllowsInsecureHTTPLoads, NSExceptionDomains, NSFaceIDUsageDescription, NSIncludesSubdomains, NSLocationAlwaysAndWhenInUseUsageDescription, NSLocationAlwaysUsageDescription, NSLocationWhenInUseUsageDescription, NSMicrophoneUsageDescription, NSMotionUsageDescription, NSPhotoLibraryUsageDescription, NSUserTrackingUsageDescription"
"DK.Gaming.iOS.app", "NSAllowsArbitraryLoads, NSAppTransportSecurity, NSAppleMusicUsageDescription, NSBluetoothAlwaysUsageDescription, NSBluetoothPeripheralUsageDescription, NSCalendarsUsageDescription, NSCameraUsageDescription, NSContactsUsageDescription, NSExceptionDomains, NSFaceIDUsageDescription, NSIncludesSubdomains, NSLocationAlwaysAndWhenInUseUsageDescription, NSLocationAlwaysUsageDescription, NSLocationUsageDescription, NSLocationWhenInUseUsageDescription, NSMicrophoneUsageDescription, NSPhotoLibraryUsageDescription, NSPrincipalClass, NSSiriUsageDescription, NSUserTrackingUsageDescription"
"NFLMobile.app", "NSAppTransportSecurity, NSBluetoothAlwaysUsageDescription, NSBluetoothPeripheralUsageDescription, NSBonjourServices, NSCalendarsUsageDescription, NSCameraUsageDescription, NSContactsUsageDescription, NSExceptionAllowsInsecureHTTPLoads, NSExceptionDomains, NSExceptionRequiresForwardSecrecy, NSExtension, NSExtensionPointIdentifier, NSExtensionPrincipalClass, NSHumanReadableCopyright, NSIncludesSubdomains, NSLocalNetworkUsageDescription, NSLocationAlwaysAndWhenInUseUsageDescription, NSLocationWhenInUseUsageDescription, NSMicrophoneUsageDescription, NSPhotoLibraryAddUsageDescription, NSPhotoLibraryUsageDescription, NSRemindersUsageDescription, NSSupportsLiveActivities, NSUserTrackingUsageDescription, NSVideoSubscriberAccountUsageDescription"
"Hunt.app", "NSAppTransportSecurity, NSCameraUsageDescription, NSExceptionDomains, NSExceptionMinimumTLSVersion, NSExceptionRequiresForwardSecrecy, NSHumanReadableCopyright, NSIncludesSubdomains, NSLocationAlwaysAndWhenInUseUsageDescription, NSLocationAlwaysUsageDescription, NSLocationWhenInUseUsageDescription, NSPhotoLibraryAddUsageDescription, NSPhotoLibraryUsageDescription, NSPrincipalClass, NSThirdPartyExceptionAllowsInsecureHTTPLoads, NSThirdPartyExceptionRequiresForwardSecrecy, NSUserTrackingUsageDescription"
"WeatherLive.app", "NSAllowsArbitraryLoads, NSAppTransportSecurity, NSLocationAlwaysAndWhenInUseUsageDescription, NSLocationAlwaysUsageDescription, NSLocationWhenInUseUsageDescription, NSUserTrackingUsageDescription"
"WeatherNowX.app
Watch Lite.app", "NSAllowsArbitraryLoads, NSAppTransportSecurity, NSBluetoothAlwaysUsageDescription, NSBluetoothPeripheralUsageDescription, NSLocationAlwaysAndWhenInUseUsageDescription, NSLocationAlwaysUsageDescription, NSLocationWhenInUseUsageDescription, NSUserTrackingUsageDescription"
"TheWeather.app
Weather.app", "NSAdvertisingAttributionReportEndpoint, NSAllowsArbitraryLoads, NSAllowsArbitraryLoadsForMedia, NSAllowsArbitraryLoadsInWebContent, NSAppTransportSecurity, NSBluetoothPeripheralUsageDescription, NSCalendarsUsageDescription, NSExceptionDomains, NSExceptionRequiresForwardSecrecy, NSFaceIDUsageDescription, NSIncludesSubdomains, NSLocationAlwaysAndWhenInUseUsageDescription, NSLocationAlwaysUsageDescription, NSLocationDefaultAccuracyReduced, NSLocationUsageDescription, NSLocationWhenInUseUsageDescription, NSMotionUsageDescription, NSPhotoLibraryAddUsageDescription, NSPhotoLibraryUsageDescription, NSTemporaryExceptionAllowsInsecureHTTPLoads, NSUserActivityTypes, NSUserTrackingUsageDescription, NSWidgetWantsLocation"
"Radar.app", "NSAllowsArbitraryLoads, NSAppTransportSecurity"
"Weather Live Free.app
watchOS_app.app", "NSAllowsArbitraryLoads, NSAppTransportSecurity, NSBluetoothAlwaysUsageDescription, NSBluetoothPeripheralUsageDescription, NSCalendarsUsageDescription, NSLocationAlwaysAndWhenInUseUsageDescription, NSLocationAlwaysUsageDescription, NSLocationWhenInUseUsageDescription, NSMotionUsageDescription, NSPhotoLibraryAddUsageDescription, NSPhotoLibraryUsageDescription, NSSupportsLiveActivities, NSSupportsLiveActivitiesFrequentUpdates, NSUserActivityTypes, NSUserTrackingUsageDescription"
